company,product,year,value_dkk_or_usd_mn,page,source_file,raw_line
Novo Nordisk,Ozempic,2020,41831,30,Novo-Nordisk-Annual-Report-2020.pdf,"CER to DKK 41,831 million . Ozempic® has now Sales split in Diabetes care was negatively impacted by lower demand due to"
Novo Nordisk,Rybelsus,2020,21211,30,Novo-Nordisk-Annual-Report-2020.pdf,"21,211 million, and Rybelsus® has been launched GLP-1 sales as reported Sales of Norditropin® increased by 6% measured"
Novo Nordisk,Ozempic,2020,3634,54,Novo-Nordisk-Annual-Report-2020.pdf,"Ozempic® 3,634 1,143 39 3,112 969 39 10 — — 512 174 — 17,577 10,094 1,757 16,650 9,599 1,634 21,211 11,237 1,796"
Novo Nordisk,Rybelsus,2020,1837,54,Novo-Nordisk-Annual-Report-2020.pdf,"Rybelsus® 36 — — 36 — — — — — — — — 1,837 50 — 1,826 50 — 1,873 50 —"
Novo Nordisk,Rybelsus,2020,7716,59,Novo-Nordisk-Annual-Report-2020.pdf,"carrying amount of acquired intangible assets related to Rybelsus is DKK 7,716 the achievement of the event is probable. Development costs incurred net present value of estimated future cash flows from marketable products."
Novo Nordisk,Rybelsus,2021,4000,25,novo-nordisk-annual-report-2021.pdf,"already being used by more than 4,000 patients in 36 countries Beyond insulin, we have continued the rollout of Rybelsus®, our for patients living with obesity), and the other looking at"
Novo Nordisk,Rybelsus,2021,19203,34,novo-nordisk-annual-report-2021.pdf,"World. Rybelsus® has now been launched in 29 countries. Danish kroner and by 4% at CER to DKK 19,203 million in line"
Novo Nordisk,Ozempic,2021,8856,57,novo-nordisk-annual-report-2021.pdf,"Ozempic® 8,856 3,634 1,143 6,393 3,112 969 303 10 — 2,160 512 174 24,849 17,577 10,094 23,168 16,650 9,599 33,705 21,211 11,237"
Novo Nordisk,Rybelsus,2021,4314,57,novo-nordisk-annual-report-2021.pdf,"Rybelsus® 524 36 — 289 36 — — — — 235 — — 4,314 1,837 50 4,243 1,826 50 4,838 1,873 50"
Novo Nordisk,Wegovy,2021,3117,57,novo-nordisk-annual-report-2021.pdf,"Obesity care (Saxenda® and Wegovy®) 3,117 2,118 2,083 1,809 1,124 981 61 10 9 1,247 984 1,093 5,283 3,490 3,596 4,912 3,230 3,348 8,400 5,608 5,679"
Novo Nordisk,Rybelsus,2021,7150,62,novo-nordisk-annual-report-2021.pdf,"related to Rybelsus is DKK 7,150 million (DKK 7,716 million in 2020), which"
Novo Nordisk,Rybelsus,2022,20542,37,novo-nordisk-annual-report-2022.pdf,"as Rest of World and EMEA. Rybelsus® has been launched in Danish kroner and by 1% at CER to DKK 20,542 million."
Novo Nordisk,Wegovy,2022,83371,37,novo-nordisk-annual-report-2022.pdf,"kroner and by 42% at CER to DKK 83,371 million. The GLP- Wegovy®, increased by 101% measured in Danish kroner"
Novo Nordisk,Ozempic,2022,28448,38,novo-nordisk-annual-report-2022.pdf,"Danish kroner and by 15% at CER to DKK 28,448 million, Ozempic® and Rybelsus®, as well as Obesity care market contracts. The foreign exchange result was a net loss of DKK"
Novo Nordisk,Rybelsus,2022,28448,38,novo-nordisk-annual-report-2022.pdf,"Danish kroner and by 15% at CER to DKK 28,448 million, Ozempic® and Rybelsus®, as well as Obesity care market contracts. The foreign exchange result was a net loss of DKK"
Novo Nordisk,Ozempic,2022,17369,61,novo-nordisk-annual-report-2022.pdf,"Ozempic® 17,369 8,856 3,634 10,417 6,393 3,112 2,196 303 10 4,756 2,160 512 42,381 24,849 17,577 38,750 23,168 16,650 59,750 33,705 21,211"
Novo Nordisk,Rybelsus,2022,3155,61,novo-nordisk-annual-report-2022.pdf,"Rybelsus® 3,155 524 36 1,714 289 36 63 — — 1,378 235 — 8,144 4,314 1,837 8,011 4,243 1,826 11,299 4,838 1,873"
Novo Nordisk,Wegovy,2022,6134,61,novo-nordisk-annual-report-2022.pdf,"Wegovy® 54 — — 54 — — — — — — — — 6,134 1,386 — 6,134 1,386 — 6,188 1,386 —"
Novo Nordisk,Rybelsus,2022,7150,66,novo-nordisk-annual-report-2022.pdf,"As of 31 December 2022, goodwill is allocated to the segments Diabetes and Rybelsus (DKK 7,150 million in 2021), which has a remaining useful life of 12 of being achieved. Intangible assets acquired in a business combination are"
Novo Nordisk,Wegovy,2023,1200,32,novo-nordisk-annual-report-2023.pdf,"Surging demand, limited supply and unprecedented global The success of Wegovy®, which builds on our experience with 1,200 1,007"
Novo Nordisk,Wegovy,2023,1034,35,novo-nordisk-annual-report-2023.pdf,"Sales of Obesity care products, Wegovy® and Saxenda®, increased by 147% re-establishing supply of rare endocrine disorder products. Sogroya® compared with DKK 1,034 million in 2022, mainly driven by lower income"
Novo Nordisk,Ozempic,2023,26378,57,novo-nordisk-annual-report-2023.pdf,"Ozempic® 26,378 17,369 8,856 14,327 10,417 6,393 4,821 2,196 303 7,230 4,756 2,160 69,340 42,381 24,849 63,010 38,750 23,168 95,718 59,750 33,705"
Novo Nordisk,Rybelsus,2023,7389,57,novo-nordisk-annual-report-2023.pdf,"Rybelsus® 7,389 3,155 524 4,232 1,714 289 131 63 — 3,026 1,378 235 11,361 8,144 4,314 11,060 8,011 4,243 18,750 11,299 4,838"
Novo Nordisk,Wegovy,2023,1913,57,novo-nordisk-annual-report-2023.pdf,"Wegovy® 1,913 54 — 1,913 54 — — — — — — — 29,430 6,134 1,386 29,430 6,134 1,386 31,343 6,188 1,386"
Novo Nordisk,Rybelsus,2023,6018,62,novo-nordisk-annual-report-2023.pdf,"In addition, intellectual property rights contain DKK 6,018 million related to Rybelsus®"
Novo Nordisk,Ozempic,2023,250316,66,novo-nordisk-annual-report-2023.pdf,"Amount used during the year (250,316) (226) (531) (173) (251,246) (190,278) that the use of these treatments, including Ozempic®, Wegovy® and Rybelsus®, have"
Novo Nordisk,Rybelsus,2023,250316,66,novo-nordisk-annual-report-2023.pdf,"Amount used during the year (250,316) (226) (531) (173) (251,246) (190,278) that the use of these treatments, including Ozempic®, Wegovy® and Rybelsus®, have"
Novo Nordisk,Wegovy,2023,250316,66,novo-nordisk-annual-report-2023.pdf,"Amount used during the year (250,316) (226) (531) (173) (251,246) (190,278) that the use of these treatments, including Ozempic®, Wegovy® and Rybelsus®, have"
Novo Nordisk,Wegovy,2023,64319,90,novo-nordisk-annual-report-2023.pdf,"continued launch of Wegovy® in new markets. Year-end employees (total) 64,319 55,185 48,478"
Novo Nordisk,Ozempic,2024,120342,33,novo-nordisk-annual-report-2024.pdf,"Ozempic® sales increased by 26% in both Danish kroner and at CER to DKK 120,342 million. capacity expansions."
Novo Nordisk,Rybelsus,2024,23301,33,novo-nordisk-annual-report-2024.pdf,"Rybelsus® sales increased by 24% measured in Danish kroner and by 26% at CER to DKK 23,301 promotional activities related to Wegovy®. In International Operations, the increase is mainly"
Novo Nordisk,Wegovy,2024,23301,33,novo-nordisk-annual-report-2024.pdf,"Rybelsus® sales increased by 24% measured in Danish kroner and by 26% at CER to DKK 23,301 promotional activities related to Wegovy®. In International Operations, the increase is mainly"
Novo Nordisk,Ozempic,2024,29055,109,novo-nordisk-annual-report-2024.pdf,"Ozempic® 29,055 26,378 17,369 16,001 14,327 10,417 5,762 4,821 2,196 7,292 7,230 4,756 91,287 69,340 42,381 84,201 63,010 38,750 120,342 95,718 59,750"
