nct_id,study_title,phase_clean,status,intervention_name,intervention_type,mechanism_class,sponsor,conditions,start_date,primary_completion_date,source_link
NCT04215328,Facilitated Release of Endogenous Enterokines,Unknown,COMPLETED,"Mixed-Meal, Electrolyte Solution","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,University of Southern California,"['Diabetes Mellitus, Type 2']",2014-11-01,2019-02-28,https://clinicaltrials.gov/study/NCT04215328
NCT06498063,The Underlying Mechanisms Regarding the Effect of Glucagon on the Kidneys Will be Investigated in Healthy Males.,Unknown,RECRUITING,"Glucagon, Placebo, Glucagon and exendin 9-39","OTHER, OTHER, OTHER",Other,Ali Asmar,['Kidney Diseases'],2024-02-20,2025-03-28,https://clinicaltrials.gov/study/NCT06498063
NCT07187830,Visceral Adipose Tissue and Liver Changes Associated With Semaglutide in CKD,Unknown,NOT_YET_RECRUITING,,,Unknown,University of Alberta,"['Chronic Kidney Disease in Type 2 Diabetes', 'Obesity & Overweight']",2025-12-15,2027-12-15,https://clinicaltrials.gov/study/NCT07187830
NCT00211536,Study Comparing Effectiveness of Intraperitoneal Insulin Administration to Subcutaneous Insulin Administration,Unknown,COMPLETED,"Medtronic MiniMed Implantable Pump Human Recombinant Insulin, Medtronic MiniMed Implantable Pump System, Aventis HOE21PH U400","DRUG, DEVICE, DRUG",Other,Medtronic Diabetes,['Type 1 Diabetes'],2002-06,2004-08,https://clinicaltrials.gov/study/NCT00211536
NCT02284009,Albiglutide Versus Placebo in Insulin-treated Subjects With New-onset Type 1 Diabetes Mellitus,Unknown,COMPLETED,"Albiglutide weekly injection, Placebo weekly injection, Insulin","BIOLOGICAL, BIOLOGICAL, BIOLOGICAL",Other,GlaxoSmithKline,"['Diabetes Mellitus, Type 1']",2014-10-10,2017-10-18,https://clinicaltrials.gov/study/NCT02284009
NCT03108521,SNP Study of DPP-4 and GLP-1R in Chinese People (Including Diabetes Patients),Unknown,COMPLETED,Sitagliptin,DRUG,Other,Sichuan Provincial People's Hospital,['Diabetes Mellitus'],2016-04-21,2018-01-04,https://clinicaltrials.gov/study/NCT03108521
NCT01972152,"Safety, Tolerability, Pharmacokinetic (PK) and Pharmacodynamic (PD) Study of G-Pen(TM) (Glucagon Injection) to Treat Severe Hypoglycemia",Unknown,COMPLETED,"G-Pen(TM) 1 mg, Lilly Glucagon(TM) 1 mg, G-Pen(TM) 0.5 mg","DRUG, DRUG, DRUG",Other,Xeris Pharmaceuticals,['Hypoglycemia'],2013-10,2014-02,https://clinicaltrials.gov/study/NCT01972152
NCT06700538,Study of ARO-INHBE in Adults With Obesity With and Without Diabetes Mellitus,Unknown,RECRUITING,"ARO-INHBE, Placebo, Tirzepatide","DRUG, DRUG, DRUG",Other,Arrowhead Pharmaceuticals,['Obesity'],2024-12-04,2026-02,https://clinicaltrials.gov/study/NCT06700538
NCT01176708,Intact Liver Innervation and Glucose and Glucagon-like Peptide-1 (GLP-1) Induced Insulin Secretion,Unknown,UNKNOWN,"dipeptidyl peptidase 4 (DPP4) inhibitor, oral glucose, intravenous glucose","DRUG, OTHER, OTHER",Other,"University Hospital, Gentofte, Copenhagen",['Liver Transplantation'],2009-07,2012-08,https://clinicaltrials.gov/study/NCT01176708
NCT01664624,Roflumilast Plus Alogliptin Proof-of-Mechanism Study in Type2 Diabetes,Unknown,COMPLETED,"Roflumilast, Alogliptin, Exenatide, Placebo to roflumilast, Placebo to alogliptin","DRUG, DRUG, DRUG, DRUG, DRUG",Other,AstraZeneca,['Type 2 Diabetes'],2012-07,2012-11,https://clinicaltrials.gov/study/NCT01664624
NCT07059988,Endogenous Energy Production in Critically Ill Patients,Unknown,NOT_YET_RECRUITING,"Stable isotope tracers, Parenteral nutrition","OTHER, DIETARY_SUPPLEMENT",Other,Karolinska University Hospital,"['Critical Illness', 'Metabolism and Nutrition Disorder']",2025-07,2026-12,https://clinicaltrials.gov/study/NCT07059988
NCT02637388,Effects of Beta-glucan on Energy Intake and Satiety,Unknown,UNKNOWN,"Oatwell28 Oatwell Original Powder, Control Breakfast","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,Queen Margaret University,['Obesity'],2016-03,2016-12,https://clinicaltrials.gov/study/NCT02637388
NCT01157780,Parenteral Nutrition Associated Liver Disease: Early Markers and Therapy Wih Enteral Omega-3 Supplementation,Unknown,UNKNOWN,Lovaza (fish oil),DRUG,Other,University of Tennessee,['Parenteral Nutrition Associated Liver Disease'],2008-10,2014-06,https://clinicaltrials.gov/study/NCT01157780
NCT02883127,Motivational Interviewing With Focus on Diet and Weight Gain in Pregnant Women With Type 2 Diabetes,Unknown,COMPLETED,Motivational interviewing,BEHAVIORAL,Other,"Rigshospitalet, Denmark","['Type 2 Diabetes', 'Pregnancy']",2015-08-01,2018-02-28,https://clinicaltrials.gov/study/NCT02883127
NCT06854861,Premixed Glucagon/Insulin Solution for Faster Insulin Absorption in Type 1 Diabetes,Unknown,SUSPENDED,"Lyumjev 100 UNT/ML Injectable Solution, Premixed Lyumjev","DRUG, DRUG",Other,St. Olavs Hospital,['Type 1 Diabetes'],2025-04-01,2025-11-30,https://clinicaltrials.gov/study/NCT06854861
NCT00155376,Intravenous-Morphine and Glucagon-Usage Enhanced MR Cholangiography,Unknown,UNKNOWN,morphine and glucagon,DRUG,Other,National Taiwan University Hospital,['Liver Disease'],2005-09,,https://clinicaltrials.gov/study/NCT00155376
NCT04348617,Effect of Acute Exercise on Food Intake and Energy Expenditure Following a Gastric Bypass,Unknown,UNKNOWN,"Moderate exercise, Rest","OTHER, OTHER",Other,Universite du Quebec en Outaouais,['Obesity'],2021-05-15,2023-03-31,https://clinicaltrials.gov/study/NCT04348617
NCT02274740,Effect of Lixisenatide on Postprandial Lipid Profile in Obese Type 2 Diabetic Patients,Unknown,TERMINATED,"LIXISENATIDE AVE0010, metformin","DRUG, DRUG",Other,Sanofi,['Type II Diabetes Mellitus'],2015-04,2015-08,https://clinicaltrials.gov/study/NCT02274740
NCT05541991,Study on the Effect of Rhubarb Extract on Stool Frequency and Biological Markers of Intestinal Function in Seniors With Low Defecation,Unknown,COMPLETED,"single dose coated tablet Fruits & Fibres Rhubarbe with standardised rhubarb extract, placebo coated tablet, double dose coated tablet Fruits & Fibres Rhubarbe with standardised rhubarb extract","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,ortis,['Constipation - Functional'],2017-02-10,2018-03-14,https://clinicaltrials.gov/study/NCT05541991
NCT02847091,Study of Ipragliflozin in Patients With Type 2 Diabetes Mellitus Receiving Insulin Therapy,Unknown,COMPLETED,"Ipragliflozin, Insulin","DRUG, DRUG",Other,Astellas Pharma Inc,['Type 2 Diabetes Mellitus'],2016-07-29,2017-11-09,https://clinicaltrials.gov/study/NCT02847091
NCT02891525,"The Influence of Sweet Substrates on Hunger, Gastrointestinal Hormones and the Migrating Motor Complex",Unknown,COMPLETED,"50g glucose, 25g fructose, 220mg acesulfame-K, 250mL tap water","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,Universitaire Ziekenhuizen KU Leuven,['Healthy'],2015-03,2016-02,https://clinicaltrials.gov/study/NCT02891525
NCT02689791,Effect of Resistant Wheat Starch on Subjective Appetite and Food Intake in Healthy Adults,Unknown,COMPLETED,Resistant Starch Type 4,DIETARY_SUPPLEMENT,Other,Iowa State University,['Feeding Behavior'],2012-01,2013-01,https://clinicaltrials.gov/study/NCT02689791
NCT04345120,Multiple Ascending Doses of SY-008 in Type 2 Diabetes Mellitus,Unknown,COMPLETED,"SY-008, SY-008 matching placebo","DRUG, DRUG",Other,"Suzhou Yabao Pharmaceutical R&D Co., Ltd.",['Type 2 Diabetes Mellitus'],2020-06-15,2021-12-15,https://clinicaltrials.gov/study/NCT04345120
NCT00588380,GLP1R Polymorphisms and Response to GLP1,Unknown,COMPLETED,GLP-1,DRUG,GLP-1 agonist,Mayo Clinic,['Diabetes'],2007-11,2010-09,https://clinicaltrials.gov/study/NCT00588380
NCT01422590,Pharmacodynamics of Mitiglinide/Sitagliptin Compared to Mitiglinide and Sitagliptin,Unknown,COMPLETED,"Sitagliptin, Mitiglinide, Sitagliptin, Mitiglinide","DRUG, DRUG, DRUG",Other,Samsung Medical Center,['Type 2 Diabetes Mellitus'],2010-05,2011-04,https://clinicaltrials.gov/study/NCT01422590
NCT04615910,A GLP-1 Receptor PET Imaging Substudy Within the VER-A-T1D Trial Investigating the Effects on Beta Cell Mass,Unknown,RECRUITING,68Ga-NODAGA-exendin-4 PET/CT,RADIATION,Other,Radboud University Medical Center,['Diabetes Mellitus'],2021-07-01,2025-04-01,https://clinicaltrials.gov/study/NCT04615910
NCT06295913,Hydroxytyrosol Dietary Supplement and Prevention of Age-Related Diseases,Unknown,COMPLETED,"Group 1, hydroxytyrosol-rich extract capsule, Group 2, capsule of placebo","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,"National Research Council, Spain","['Overweight', 'PreDiabetes']",2023-12-01,2024-09-30,https://clinicaltrials.gov/study/NCT06295913
NCT01666223,Effect of Bile Acids on GLP-1 Secretion,Unknown,COMPLETED,"Colesevelam, Chenodeoxycholic Acid, saline, Colesevelam 3750 mg + chenodeoxycholic acid 1250 mg","DRUG, DRUG, OTHER, DRUG",Other,"University Hospital, Gentofte, Copenhagen","['Type 2 Diabetes', 'Obesity']",2012-11,2013-06,https://clinicaltrials.gov/study/NCT01666223
NCT03761186,"Comparison of Low, Moderate and High Carbohydrate Diet on Insulin Requirements and Metabolic Control in Type 1 Diabetes",Unknown,UNKNOWN,"traditional diabetes diet, moderately low carbohydrate diet, strictly low carbohydrate diet","BEHAVIORAL, BEHAVIORAL, BEHAVIORAL",Other,Anneli Björklund,['Type1diabetes'],2018-12-12,2024-03,https://clinicaltrials.gov/study/NCT03761186
NCT03216226,A Trial to Evaluate the Immunogenicity of Dasiglucagon and GlucaGen in Patients With Type 1 Diabetes Mellitus,Unknown,COMPLETED,"dasiglucagon, GlucaGen","DRUG, DRUG",Other,Zealand Pharma,"['Hypoglycemia', 'Diabetes Mellitus, Type 1']",2017-06-28,2018-02-13,https://clinicaltrials.gov/study/NCT03216226
NCT01761318,Effect of Liraglutide on Cardiovascular Endpoints in Diabetes Mellitus Type 2 Patients,Unknown,COMPLETED,"Liraglutide, Liraglutide - Placebo","DRUG, DRUG",Other,Leiden University Medical Center,"['Diabetes Mellitus Type 2', 'Metabolic Syndrome', 'Cardiovascular Disease', 'Diastolic Dysfunction', 'Fatty Liver']",2013-11,2016-03,https://clinicaltrials.gov/study/NCT01761318
NCT04590690,Gut Microbiome and Sex as Risk Factors for Kidney Stones After Bariatric Surgery,Unknown,RECRUITING,Special diet,OTHER,Other,University of Chicago,['Bariatric Surgery Candidate'],2020-11-01,2026-02-01,https://clinicaltrials.gov/study/NCT04590690
NCT03921580,Enriched Canned Tuna With Fibre or Polyphenols on Satiety,Unknown,COMPLETED,"Control Canned Tuna, Enriched Canned Tuna Variety 1, Enriched Canned Tuna Variety 2","OTHER, OTHER, OTHER",Other,Instituto de Investigación Hospital Universitario La Paz,['Overweight'],2018-06-22,2018-07-06,https://clinicaltrials.gov/study/NCT03921580
NCT02810691,The Effect of Soluble Fiber to Reduce Post-prandial Glycemic Excursion in Adults With Cystic Fibrosis,Unknown,COMPLETED,"Soluble fiber supplementation, Placebo (for fiber supplementation)","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,Institut de Recherches Cliniques de Montreal,"['Cystic Fibrosis-related Diabetes', 'Cystic Fibrosis']",2016-07,2018-04,https://clinicaltrials.gov/study/NCT02810691
NCT02512523,Exploratory Study to Compare the Effects of Tenelia® or Januvia® on Glucose Variability in add-on to Metformin (CGMS Study),Unknown,COMPLETED,"Teneligliptin, Sitagliptin","DRUG, DRUG",Other,Handok Inc.,['Type 2 Diabetes Mellitus'],2015-08-27,2016-09-26,https://clinicaltrials.gov/study/NCT02512523
NCT03573258,Dietary Fibers and Satiety in Bariatric Patients,Unknown,COMPLETED,Fiber or Placebo (depending on the randomization),DIETARY_SUPPLEMENT,Other,University of Zurich,['Bariatric Surgery Candidate'],2018-06-01,2021-05-04,https://clinicaltrials.gov/study/NCT03573258
NCT03324776,Initiating Mealtime Ultra-Rapid Acting Insulin (Afrezza) in Uncontrolled Type 2 Diabetes Patients,Unknown,COMPLETED,Afrezza Inhalant Product,DRUG,Other,Model Clinical Research LLC,['Type2 Diabetes'],2017-10-16,2020-06-10,https://clinicaltrials.gov/study/NCT03324776
NCT02168491,Feasibility of Once/Daily Administered GLP/1 Receptoragonist (Lixisenatide) in Combination With Basal Insulin,Unknown,COMPLETED,"Lixisenatide, Insulin glargine","DRUG, DRUG",Other,Medical University of Vienna,['Type 2 Diabetes Mellitus'],2014-11,2015-07,https://clinicaltrials.gov/study/NCT02168491
NCT02229240,Albiglutide Versus Placebo Added-on to Basal-Bolus Insulin Therapy in Subjects With Type 2 Diabetes Mellitus,Unknown,WITHDRAWN,"Albiglutide, Matching albiglutide placebo","DRUG, DRUG",Other,GlaxoSmithKline,"['Diabetes Mellitus, Type 2']",2015-08,2015-12,https://clinicaltrials.gov/study/NCT02229240
NCT01156779,Study to Evaluate Safety and PK/PD of DA-3091 in Healthy Male Subjects,Unknown,COMPLETED,SR-exenatide,DRUG,Other,"Dong-A Pharmaceutical Co., Ltd.",['Diabetes Mellitus'],2010-07,2012-04,https://clinicaltrials.gov/study/NCT01156779
NCT03384303,"Changes in Incretines, Gut Hormones and Bile Acids After Roux-en-Y Gastric Bypass",Unknown,COMPLETED,Standardized meal test,OTHER,Other,Rijnstate Hospital,['Morbid Obesity'],2015-10-01,2016-05-01,https://clinicaltrials.gov/study/NCT03384303
NCT05268627,Endoscopic Ultrasound Guided Gastric Botulinum Toxin Injections Versus Glucagon Like Peptide 1 Receptor Agonist in Weight Loss,Unknown,UNKNOWN,Liraglutide,DRUG,Other,Mansoura University,['Obesity'],2022-01-27,2023-01-27,https://clinicaltrials.gov/study/NCT05268627
NCT05920889,Glucagon-like Peptide 1 Receptor Agonist in Acute Large Vessel Occlusion Stroke Treated by Reperfusion Therapies,Unknown,COMPLETED,Semaglutide,DRUG,Other,Chinese University of Hong Kong,"['Stroke', 'Stroke, Acute', 'Stroke, Ischemic', 'Brain Diseases']",2023-08-01,2024-10-25,https://clinicaltrials.gov/study/NCT05920889
NCT01664247,The Effect of Insulin Degludec in Combination With Liraglutide and Metformin in Subjects With Type 2 Diabetes Qualifying for Treatment Intensification,Unknown,COMPLETED,"insulin degludec, placebo, liraglutide","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2012-10-01,2013-12-31,https://clinicaltrials.gov/study/NCT01664247
NCT06925997,Metabolic Effects of Endogenous Bile Acids After Gastric Bypass Surgery,Phase 1,RECRUITING,Colesevelam,DRUG,Other,Hvidovre University Hospital,"['Bariatric Surgery Candidate', 'Bile Acid, Elevated Serum', 'Glucose Metabolism Disorders']",2024-05-02,2027-12,https://clinicaltrials.gov/study/NCT06925997
NCT05903482,Gastric Volume in Patients on GLP-1 Medications,Unknown,COMPLETED,None - observational,OTHER,Other,Children's Hospital of Philadelphia,['Diabetes'],2023-06-06,2024-12-31,https://clinicaltrials.gov/study/NCT05903482
NCT06976658,Glucokinase Activator in Monogenic Diabetes,Unknown,NOT_YET_RECRUITING,"Dorzagliatin, matched placebo","DRUG, DRUG",Other,Chinese University of Hong Kong,"['Diabetes Mellitus', 'Monogenic Diabetes']",2025-05-28,2026-12-31,https://clinicaltrials.gov/study/NCT06976658
NCT03254368,Study to Assess the Effects and Safety of ZGN-1061 in Overweight and Obese Participants With Type 2 Diabetes,Unknown,COMPLETED,"ZGN-1061, Placebo","DRUG, DRUG",Other,"Zafgen, Inc.","['Type 2 Diabetes Mellitus', 'Overweight and Obesity']",2017-09-12,2018-11-12,https://clinicaltrials.gov/study/NCT03254368
NCT03017352,Meal-time Administration of Exenatide for Glycaemic Control in Type 1 Diabetic Cases,Unknown,COMPLETED,"Exenatide, Placebos","DRUG, DRUG",Other,Filip Krag Knop,"['Diabetes Mellitus, Type 1']",2016-12,2019-06,https://clinicaltrials.gov/study/NCT03017352
NCT03989817,"The Effects of a Long-lasting Infusion of Vasoactive Intestinal Peptide (VIP) on Headache, Cranial Hemodynamic and Autonomic Symptoms in Healthy Volunteers",Unknown,COMPLETED,Vasoactive Intestinal Peptide (VIP) and Saline,DRUG,Other,Danish Headache Center,['Headache Disorders'],2019-06-14,2020-06-30,https://clinicaltrials.gov/study/NCT03989817
NCT01865760,"Etiology, Assessment and Treatment of Post-gastric Bypass Severe Hypoglycemia",Unknown,COMPLETED,"Oral Glucose tolerance test (OGGT), Liquid mixed meal, Octreotide","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DRUG",Other,University of Aarhus,"['Obesity', 'Hypoglycemia', 'Surgery']",2013-06,2016-03,https://clinicaltrials.gov/study/NCT01865760
NCT06182891,Renoprotective Effects of Dulaglutide in Patients With Type 2 Diabetic Nephropathy,Unknown,COMPLETED,Dulaglutide Injection,DRUG,Other,The Affiliated Hospital of Xuzhou Medical University,['Type 2 Diabetic Nephropathy'],2021-10-30,2023-06-30,https://clinicaltrials.gov/study/NCT06182891
NCT02898506,Incretin-based Therapy in Late Preclinical Type 1 Diabetes,Unknown,COMPLETED,"Victoza®, Placebo","DRUG, DRUG",Other,University of Oulu,['Type 1 Diabetes'],2016-03,2021-06,https://clinicaltrials.gov/study/NCT02898506
NCT04352738,Role of the Liver in Glucose Homeostasis Using Metabolic Imaging,Unknown,COMPLETED,"Multiparametric, multinuclear MR (DMI/ 13C-MRS/ GlycoCEST/GlycoNOE)",DIAGNOSTIC_TEST,Other,"Insel Gruppe AG, University Hospital Bern","['Type 1 Diabetes', 'Bariatric Surgery Candidate']",2021-04-15,2022-04-21,https://clinicaltrials.gov/study/NCT04352738
NCT07227948,Repurposing Semaglutide for the Treatment of Cocaine Use Disorder,Unknown,NOT_YET_RECRUITING,"Semaglutide, Placebo, cognitive behavioral therapy (CBT).","DRUG, DRUG, BEHAVIORAL",Other,"The University of Texas Health Science Center, Houston",['Cocaine Use Disorder'],2025-11-17,2029-01-28,https://clinicaltrials.gov/study/NCT07227948
NCT06501326,Efficacy and Safety of Liraglutide in the Treatment of Obesity Combined With Metabolism Associated Fatty Liver Disease,Unknown,UNKNOWN,"Liraglutide, Orlistat","DRUG, DRUG",Other,Affiliated Hospital of Nantong University,"['Non-alcoholic Fatty Liver Disease', 'Obesity']",2023-11-01,2024-10-31,https://clinicaltrials.gov/study/NCT06501326
NCT00959426,"A Multiple Dose Study Of PF-04620110 In Overweight And Obese, Otherwise Healthy Volunteers",Unknown,COMPLETED,"PF-04620110, Placebo","DRUG, DRUG",Other,Pfizer,"['Obesity', 'Overweight', 'Healthy']",2009-08,2010-05,https://clinicaltrials.gov/study/NCT00959426
NCT06588218,Effect of Watermelon on Gut and Cardiometabolic Health,Unknown,RECRUITING,"Watermelon, Belvita Breakfast Sandwich + 12 oz Water","OTHER, OTHER",Other,Florida State University,"['Obesity and Overweight', 'Dysbiosis']",2024-10-13,2026-08,https://clinicaltrials.gov/study/NCT06588218
